sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,alternate_sku,base_color,bottle_size,color,cost,cost_price,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,do_not_discount,ebizmarts_mark_visited,gallery,gift_message_available,has_options,image,image_label,is_qty_decimal,item_no,mah,manufacturer,manufacturer_upc,media_gallery,meta_description,meta_keyword,meta_title,mfr_sugg_price,minimal_price,min_qty_to_sale,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,nicotine_strength,ohm,options_container,page_layout,pos_product_status,prd_id,prd_return,prd_supplier_id,price,qty_increments,required_options,short_description,simple_prd_name,small_image,small_image_label,special_from_date,special_price,special_to_date,status,store_price,style,sync_prd_create,sync_status,sync_update_msg,tank_color,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,verpage_catalog_product,visibility,volume,weight,qty,min_qty,use_config_min_qty,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
iKit-BL,,Batteries,simple,,Inventory,base,,,,Black,,9.3600,,"2014-10-14 17:22:53",,,,,"iKit by Eleaf",,No,,,0,no_selection,,0,,,Eleaf,,,,,,,,,,"Use config","Use config","iKit by Eleaf Black",,,,,"Product Info Column",,Enabled,,Yes,1,14.9900,0.0000,0,"iKit by Eleaf",,no_selection,,,,,1,14.9900,,,1,,,2,no_selection,,"2014-12-01 23:47:57",ikit-by-eleaf,ikit-by-eleaf-197.html,No,1,,1.0000,2.0000,0.0000,1,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,E-Cigarettes,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Starter Kits",Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,E-Cigarettes/Eleaf,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iKit,,Batteries,configurable,,Inventory,base,,,,,,,China,"2014-10-14 17:24:57",,,,,"iKit by Eleaf

<p>The Eleaf / iSmoka iKit starter kit is surprisingly good! We weren't sure about this kit because of it's low price point, but it tastes good, has good vapor production, and a good throat hit. </p>

<h3>The iKit by Eleaf Includes:</h3>
<ul>

     <li>1 Mini BCC Tank</li>
     <li>1 Cartomizer Head (coil)</li>
     <li>1 Mouth Piece</li>
     <li>1 1000 mAh battery (power supply)</li>
     <li>1 USB cable charger</li>
</ul>

<h3>Available Colors:</h3>
<ul>

     <li>Blue</li>
     <li>Black</li>
     <li>Pink</li>
     <li>Silver</li>
</ul>",,No,,,1,/e/l/eleaf-ikit-group.jpg,,0,,,Eleaf,,,"The iKit by Eleaf pleasantly surprised us. We think you'll like it too. Available in pink, blue, black, and silver. It includes everything you need to start vaping but the e-liquid. Try one today.",,,,,,,"Use config","Use config","iKit by Eleaf","2014-12-01 00:00:00","2014-12-01 00:00:00",,,"Product Info Column",,Enabled,,,,14.9900,0.0000,1,"iKit by Eleaf

<p>This iKit starter kit pleasantly surprised us.  The iKit comes with everything but the e-liquid! </p>
<strong>Available in Silver, Black, Pink, and Blue</strong>

<p>We recommend having at least two batteries when you start vaping. The reason is so that you will have one to vape while the other is charging. </p>",,/e/l/eleaf-ikit-group.jpg,,,,,1,14.9900,,,1,,,2,/e/l/eleaf-ikit-group.jpg,,"2014-12-01 23:47:57",ikit-by-eleaf,ikit-by-eleaf.html,No,4,,,0.0000,0.0000,1,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,1,0,0,,,,,,,,,,,,,,,,,88,/e/l/eleaf-ikit-blue.jpg,,1,0,iKit-P,color,Pink,
,,,,E-Cigarettes,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/e/l/eleaf-ikit-silver.jpg,,2,0,iKit-B,color,Blue,
,,,,"Starter Kits",Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/e/l/eleaf-ikit-group.jpg,,3,0,iKit-S,color,SIlver,
,,,,E-Cigarettes/Eleaf,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/e/l/eleaf-ikit-pink.jpg,,4,0,iKit-BL,color,Black,
BCC-Y-S,,Tanks,simple,,Inventory,base,,Silver,,Yellow,,,,"2014-10-14 18:43:56",,,,,"BCC Mega Kit Yellow",,No,,,0,no_selection,,0,,,Eleaf,,,,,,,,,,"Use config","Use config","BCC Mega Kit Yellow Silver",,,,,"Product Info Column",,Enabled,,,,12.0000,0.0000,0,"BCC Mega Kit Yellow",,no_selection,,,,,1,12.0000,,,1,,,2,no_selection,,"2014-12-01 23:43:57",bcc-mega-yellow,bcc-mega-yellow.html,No,1,,2.3000,38.0000,0.0000,1,0,1,1.0000,1,0.0000,1,1,,1,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Tanks | Coils",Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Tanks | Coils/Eleaf",Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCC-B-S,,Tanks,simple,,Inventory,base,,Silver,,Black,,,,"2014-10-14 18:44:06",,,,,"BCC Mega Kit Black - Silver Base",,No,,,0,no_selection,,0,,,Eleaf,,,,,,,,,,"Use config","Use config","BCC Mega Kit Black Silver",,,,,"Product Info Column",,Enabled,,,,12.0000,0.0000,0,"BCC Mega Kit Black - Silver Base",,no_selection,,,,,1,12.0000,,,1,,,2,no_selection,,"2014-12-01 23:43:58",bcc-mega-yellow,bcc-mega-yellow-306.html,No,1,,2.3000,17.0000,0.0000,1,0,1,1.0000,1,0.0000,1,1,,1,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Tanks | Coils",Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Tanks | Coils/Eleaf",Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCC-Y-B,,Tanks,simple,,Inventory,base,,Black,,Yellow,,,,"2014-10-14 19:05:14",,,,,"BCC Mega Kit Yellow - Black  Base",,No,,,0,no_selection,,0,,,Eleaf,,,,,,,,,,"Use config","Use config","BCC Mega Kit Yellow Black",,,,,"Product Info Column",,Enabled,,,,12.0000,0.0000,0,"BCC Mega Kit Yellow - Black  Base",,no_selection,,,,,1,12.0000,,,1,,,2,no_selection,,"2014-12-01 23:43:59",bcc-mega-yellow,bcc-mega-yellow-307.html,No,1,,2.3000,19.0000,0.0000,1,0,1,1.0000,1,0.0000,1,1,,1,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Tanks | Coils",Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Tanks | Coils/Eleaf",Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCC-R-S,,Tanks,simple,,Inventory,base,,Silver,,Red,,,,"2014-10-14 19:09:44",,,,,"BCC Mega Kit Red - Silver  Base",,No,,,0,no_selection,,0,,,Eleaf,,,,,,,,,,"Use config","Use config","BCC Mega Kit Red Silver",,,,,"Product Info Column",,Enabled,,,,12.0000,0.0000,0,"BCC Mega Kit Red - Silver  Base",,no_selection,,,,,1,12.0000,,,1,,,2,no_selection,,"2014-12-01 23:44:01",bcc-mega-yellow,bcc-mega-yellow-308.html,No,1,,2.3000,33.0000,0.0000,1,0,1,1.0000,1,0.0000,1,1,,1,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
